idx,a1,a2,atmnum1,atmnum2,0,1,mean,stdev,var,range
0,0,1,6,6,0.1610099971294404,0.2151400055736303,0.18807500135153535,0.038275696036571764,0.0014650289070840354,0.054130008444189914
1,0,4,6,6,0.3709399998188019,0.41825000941753376,0.3945950046181678,0.03345322860526397,0.0011191185041160517,0.047310009598731884
2,1,5,6,6,0.3299900144338609,0.3566099908202887,0.34330000262707483,0.01882316581786888,0.00035431157140698743,0.026619976386427824
3,2,3,6,6,0.27003000676631916,0.1646300069987773,0.21733000688254822,0.07452905457268938,0.005554579975498911,0.10539999976754186
4,2,4,6,6,0.39851000905036915,0.3450200110673904,0.37176501005887974,0.037823140299419036,0.0014305899421095363,0.053489997982978765
5,2,6,6,6,0.1259200051426887,0.0776200070977211,0.1017700061202049,0.03415325614889358,0.001166444905571937,0.048299998044967596
6,3,5,6,6,0.41144001483917236,0.3793299905955791,0.39538500271737576,0.022705215886709245,0.0005155268284620739,0.03211002424359327
7,3,7,6,6,0.057029992341995184,0.1232699938118458,0.09014999307692048,0.046838754225138245,0.0021938688973629056,0.06624000146985061
8,4,13,6,6,0.6811599880456924,0.6804500073194504,0.6808049976825714,0.0005020321860375143,2.520363158176054e-07,0.0007099807262420654
9,5,17,6,6,1.717989981174469,1.7351300120353699,1.7265599966049194,0.012119832051489709,0.00014689032895631723,0.01714003086090088
10,6,8,6,6,0.44790000468492497,0.4365200027823447,0.44221000373363484,0.008046876515230315,6.475222165136517e-05,0.011380001902580261
11,7,8,6,6,0.2467600107192993,0.22624000906944272,0.236500009894371,0.014509832316572721,0.0002105352338550581,0.020520001649856567
12,7,14,6,6,0.6847899854183197,0.6763900220394133,0.6805900037288666,0.0059396710669433524,3.527969238348398e-05,0.008399963378906361
13,8,15,6,6,0.6024700105190276,0.5920899957418442,0.5972800031304359,0.007339778837762967,5.38723533872731e-05,0.010380014777183422
14,8,16,6,6,0.6024700105190276,0.5920899957418442,0.5972800031304359,0.007339778837762967,5.38723533872731e-05,0.010380014777183422
15,9,10,6,6,0.2604599930346013,0.2323800027370453,0.2464199978858233,0.01985555155505433,0.0003942429275554205,0.028079990297556034
16,10,17,6,6,1.6953499615192413,1.6837200224399567,1.689534991979599,0.008223608787748622,6.762774149393636e-05,0.011629939079284668
17,11,17,8,8,2.019149959087372,2.0184500217437744,2.018799990415573,0.0004949304420634286,2.4495614248110087e-07,0.0006999373435974121
18,12,17,8,8,2.019149959087372,2.0184500217437744,2.018799990415573,0.0004949304420634286,2.4495614248110087e-07,0.0006999373435974121
19,0,18,6,6,0.33287999033927906,0.3721600025892256,0.35251999646425236,0.027775163027027854,0.0007714596811779751,0.03928001224994654
20,1,19,6,6,0.1547400057315825,0.17942000366747368,0.1670800046995281,0.01745139390013865,0.0003045511490577965,0.02467999793589118
21,6,20,6,6,0.1548999994993209,0.16211000084876998,0.15850500017404545,0.005098240846559599,2.5992059729528735e-05,0.0072100013494490744
22,6,21,6,6,0.1548999994993209,0.16211000084876998,0.15850500017404545,0.005098240846559599,2.5992059729528735e-05,0.0072100013494490744
23,7,22,6,6,0.028889991343021393,0.02819999307394029,0.028544992208480842,0.00048790245507422724,2.3804880566745833e-07,0.0006899982690811018
24,9,23,6,6,0.1014800034463404,0.1331699974834918,0.11732500046491609,0.022408209679431006,0.0005021278610373455,0.03168999403715139
25,9,24,6,6,0.1014800034463404,0.1331699974834918,0.11732500046491609,0.022408209679431006,0.0005021278610373455,0.03168999403715139
26,9,25,6,6,0.1014800034463404,0.1331699974834918,0.11732500046491609,0.022408209679431006,0.0005021278610373455,0.03168999403715139
27,10,26,6,6,0.42934999614953995,0.4202200025320053,0.42478499934077263,0.00645588039914864,4.167839172811161e-05,0.009129993617534637
28,10,27,6,6,0.42934999614953995,0.4202200025320053,0.42478499934077263,0.00645588039914864,4.167839172811161e-05,0.009129993617534637
29,13,28,8,8,0.9116599857807159,0.915690004825592,0.913674995303154,0.0028496537949428227,8.120526751032031e-06,0.004030019044876099
30,14,29,8,8,0.9863100051879883,0.949610024690628,0.9679600149393082,0.02595080507909746,0.0006734442842533106,0.03669998049736023
